h,V,C,x
10GY,8,24,0.2781
2.5G,8,2,0.3053
2.5G,8,4,0.3009
2.5G,8,6,0.2952
2.5G,8,8,0.2896
2.5G,8,10,0.2829
2.5G,8,12,0.2743
2.5G,8,14,0.2661
2.5G,8,16,0.2563
2.5G,8,18,0.2451
2.5G,8,20,0.2339
2.5G,8,22,0.2221
2.5G,8,24,0.2091
5G,8,2,0.3009
5G,8,4,0.2924
5G,8,6,0.2822
5G,8,8,0.2723
5G,8,10,0.2613
5G,8,12,0.2489
5G,8,14,0.2368
5G,8,16,0.2240
5G,8,18,0.2103
5G,8,20,0.1956
5G,8,22,0.1821
7.5G,8,2,0.2981
7.5G,8,4,0.2874
7.5G,8,6,0.2754
7.5G,8,8,0.2639
7.5G,8,10,0.2515
7.5G,8,12,0.2380
7.5G,8,14,0.2254
7.5G,8,16,0.2120
7.5G,8,18,0.1980
7.5G,8,20,0.1845
10G,8,2,0.2957
10G,8,4,0.2828
10G,8,6,0.2693
10G,8,8,0.2564
10G,8,10,0.2430
10G,8,12,0.2282
10G,8,14,0.2148
10G,8,16,0.2012
10G,8,18,0.1866
10G,8,20,0.1734
2.5BG,8,2,0.2940
2.5BG,8,4,0.2791
2.5BG,8,6,0.2647
2.5BG,8,8,0.2500
2.5BG,8,10,0.2352
2.5BG,8,12,0.2196
2.5BG,8,14,0.2057
2.5BG,8,16,0.1915
2.5BG,8,18,0.1759
5BG,8,2,0.2919
5BG,8,4,0.2752
5BG,8,6,0.2588
5BG,8,8,0.2419
5BG,8,10,0.2264
5BG,8,12,0.2101
5BG,8,14,0.1958
5BG,8,16,0.1814
7.5BG,8,2,0.2900
7.5BG,8,4,0.2718
7.5BG,8,6,0.2525
7.5BG,8,8,0.2352
7.5BG,8,10,0.2184
7.5BG,8,12,0.2010
7.5BG,8,14,0.1868
7.5BG,8,16,0.1721
10BG,8,2,0.2894
10BG,8,4,0.2686
10BG,8,6,0.2489
10BG,8,8,0.2302
10BG,8,10,0.2120
10BG,8,12,0.1937
10BG,8,14,0.1788
2.5B,8,2,0.2897
2.5B,8,4,0.2668
2.5B,8,6,0.2462
2.5B,8,8,0.2264
2.5B,8,10,0.2066
2.5B,8,12,0.1877
5B,8,2,0.2908
5B,8,4,0.2671
5B,8,6,0.2457
5B,8,8,0.2237
7.5B,8,2,0.2922
7.5B,8,4,0.2688
7.5B,8,6,0.2472
7.5B,8,8,0.2252
10B,8,2,0.2935
10B,8,4,0.2718
10B,8,6,0.2512
10B,8,8,0.2294
2.5PB,8,2,0.2957
2.5PB,8,4,0.2758
2.5PB,8,6,0.2562
5PB,8,2,0.2974
5PB,8,4,0.2798
5PB,8,6,0.2614
7.5PB,8,2,0.3003
7.5PB,8,4,0.2856
7.5PB,8,6,0.2702
10PB,8,2,0.3027
10PB,8,4,0.2911
10PB,8,6,0.2792
10PB,8,8,0.2677
2.5P,8,2,0.3048
2.5P,8,4,0.2962
2.5P,8,6,0.2881
2.5P,8,8,0.2800
5P,8,2,0.3065
5P,8,4,0.3012
5P,8,6,0.2963
5P,8,8,0.2914
5P,8,10,0.2870
7.5P,8,2,0.3107
7.5P,8,4,0.3114
7.5P,8,6,0.3114
7.5P,8,8,0.3116
7.5P,8,10,0.3116
7.5P,8,12,0.3117
10P,8,2,0.3131
10P,8,4,0.3175
10P,8,6,0.3213
10P,8,8,0.3250
10P,8,10,0.3282
10P,8,12,0.3312
10P,8,14,0.3342
2.5RP,8,2,0.3154
2.5RP,8,4,0.3239
2.5RP,8,6,0.3327
2.5RP,8,8,0.3406
2.5RP,8,10,0.3479
2.5RP,8,12,0.3552
2.5RP,8,14,0.3621
5RP,8,2,0.3180
5RP,8,4,0.3308
5RP,8,6,0.3440
5RP,8,8,0.3570
5RP,8,10,0.3685
5RP,8,12,0.3818
7.5RP,8,2,0.3200
7.5RP,8,4,0.3360
7.5RP,8,6,0.3521
7.5RP,8,8,0.3682
7.5RP,8,10,0.3830
7.5RP,8,12,0.4002
10RP,9,2,0.3205
10RP,9,4,0.3400
10RP,9,6,0.3590
2.5R,9,2,0.3210
2.5R,9,4,0.3445
2.5R,9,6,0.3665
5R,9,2,0.3240
5R,9,4,0.3495
5R,9,6,0.3734
7.5R,9,2,0.3263
7.5R,9,4,0.3551
7.5R,9,6,0.3812
10R,9,2,0.3284
10R,9,4,0.3600
10R,9,6,0.3880
2.5YR,9,2,0.3320
2.5YR,9,4,0.3641
2.5YR,9,6,0.3927
5YR,9,2,0.3353
5YR,9,4,0.3668
5YR,9,6,0.3948
7.5YR,9,2,0.3380
7.5YR,9,4,0.3679
7.5YR,9,6,0.3950
7.5YR,9,8,0.4220
10YR,9,2,0.3392
10YR,9,4,0.3677
10YR,9,6,0.3941
10YR,9,8,0.4199
2.5Y,9,2,0.3390
2.5Y,9,4,0.3655
2.5Y,9,6,0.3910
2.5Y,9,8,0.4154
2.5Y,9,10,0.4370
2.5Y,9,12,0.4569
5Y,9,2,0.3378
5Y,9,4,0.3621
5Y,9,6,0.3858
5Y,9,8,0.4080
5Y,9,10,0.4275
5Y,9,12,0.4455
5Y,9,14,0.4602
5Y,9,16,0.4711
5Y,9,18,0.4782
5Y,9,20,0.4830
7.5Y,9,2,0.3365
7.5Y,9,4,0.3591
7.5Y,9,6,0.3811
7.5Y,9,8,0.4019
7.5Y,9,10,0.4201
7.5Y,9,12,0.4369
7.5Y,9,14,0.4503
7.5Y,9,16,0.4595
7.5Y,9,18,0.4663
10Y,9,2,0.3349
10Y,9,4,0.3558
10Y,9,6,0.3761
10Y,9,8,0.3957
10Y,9,10,0.4120
10Y,9,12,0.4271
10Y,9,14,0.4393
10Y,9,16,0.4477
10Y,9,18,0.4540
2.5GY,9,2,0.3321
2.5GY,9,4,0.3499
2.5GY,9,6,0.3670
2.5GY,9,8,0.3834
2.5GY,9,10,0.3973
2.5GY,9,12,0.4108
2.5GY,9,14,0.4212
2.5GY,9,16,0.4288
2.5GY,9,18,0.4354
5GY,9,2,0.3284
5GY,9,4,0.3437
5GY,9,6,0.3572
5GY,9,8,0.3698
5GY,9,10,0.3810
5GY,9,12,0.3911
5GY,9,14,0.3993
5GY,9,16,0.4058
5GY,9,18,0.4108
7.5GY,9,2,0.3198
7.5GY,9,4,0.3274
7.5GY,9,6,0.3351
7.5GY,9,8,0.3414
7.5GY,9,10,0.3471
7.5GY,9,12,0.3518
7.5GY,9,14,0.3551
7.5GY,9,16,0.3581
7.5GY,9,18,0.3602
10GY,9,2,0.3124
10GY,9,4,0.3144
10GY,9,6,0.3153
10GY,9,8,0.3157
10GY,9,10,0.3155
10GY,9,12,0.3139
10GY,9,14,0.3115
10GY,9,16,0.3079
10GY,9,18,0.3032
2.5G,9,2,0.3058
2.5G,9,4,0.3018
2.5G,9,6,0.2966
2.5G,9,8,0.2912
2.5G,9,10,0.2851
2.5G,9,12,0.2786
2.5G,9,14,0.2711
2.5G,9,16,0.2630
5G,9,2,0.3017
5G,9,4,0.2933
5G,9,6,0.2832
5G,9,8,0.2735
5G,9,10,0.2639
5G,9,12,0.2528
7.5G,9,2,0.2987
7.5G,9,4,0.2882
7.5G,9,6,0.2763
7.5G,9,8,0.2652
7.5G,9,10,0.2545
7.5G,9,12,0.2419
10G,9,2,0.2965
10G,9,4,0.2840
10G,9,6,0.2703
10G,9,8,0.2574
10G,9,10,0.2457
10G,9,12,0.2325
2.5BG,9,2,0.2947
2.5BG,9,4,0.2805
2.5BG,9,6,0.2652
2.5BG,9,8,0.2509
2.5BG,9,10,0.2382
5BG,9,2,0.2930
5BG,9,4,0.2768
5BG,9,6,0.2599
5BG,9,8,0.2437
5BG,9,10,0.2301
7.5BG,9,2,0.2911
7.5BG,9,4,0.2728
7.5BG,9,6,0.2543
7.5BG,9,8,0.2361
7.5BG,9,10,0.2215
10BG,9,2,0.2907
10BG,9,4,0.2700
10BG,9,6,0.2501
2.5B,9,2,0.2909
2.5B,9,4,0.2680
5B,9,2,0.2919
5B,9,4,0.2675
7.5B,9,2,0.2937
7.5B,9,4,0.2688
10B,9,2,0.2949
10B,9,4,0.2712
2.5PB,9,2,0.2975
5PB,9,2,0.2991
7.5PB,9,2,0.3015
10PB,9,2,0.3038
10PB,9,4,0.2910
2.5P,9,2,0.3050
2.5P,9,4,0.2963
5P,9,2,0.3067
5P,9,4,0.3003
7.5P,9,2,0.3107
7.5P,9,4,0.3117
7.5P,9,6,0.3120
10P,9,2,0.3128
10P,9,4,0.3176
10P,9,6,0.3218
2.5RP,9,2,0.3149
2.5RP,9,4,0.3234
2.5RP,9,6,0.3322
5RP,9,2,0.3172
5RP,9,4,0.3301
5RP,9,6,0.3431
7.5RP,9,2,0.3190
7.5RP,9,4,0.3350
7.5RP,9,6,0.3512
